# Data from ./methylazulene_opt_ICSS_XY_1.log.
# Shielding tensor data from ZZ component.
# Processed with ICSScsv.
# Author: Zhe Wang
# Homepage: https://www.wangzhe95.net/program-icsscsv


XY,-7.0,-6.8,-6.6,-6.4,-6.2,-6.0,-5.8,-5.6,-5.4,-5.2,-5.0,-4.8,-4.6,-4.4,-4.2,-4.0,-3.8,-3.6,-3.4,-3.2,-3.0,-2.8,-2.6,-2.4,-2.2,-2.0,-1.8,-1.6,-1.4,-1.2,-1.0,-0.8,-0.6,-0.4,-0.2,0.0,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,2.0,2.2,2.4,2.6,2.8,3.0,3.2,3.4,3.6,3.8,4.0,4.2,4.4,4.6,4.8,5.0,5.2,5.4,5.6,5.8,6.0,6.2,6.4,6.6,6.8,7.0,
-6.0,0.4421,0.464,0.487,0.5111,0.5363,0.5626,0.59,0.6185,0.6481,0.6788,0.7103,0.7428,0.776,0.8098,0.8441,0.8787,0.9133,0.9478,0.9819,1.0152,1.0476,1.0788,1.1084,1.1362,1.162,1.1856,1.2068,1.2255,1.2415,1.2549,1.2655,1.2733,1.2784,1.2808,1.2805,1.2775,1.2719,1.2637,1.253,1.24,1.2246,1.2071,1.1875,1.1661,1.1429,1.1181,1.0919,1.0645,1.036,1.0065,0.9763,0.9454,0.914,0.8823,0.8504,0.8185,0.7868,0.7553,0.7243,0.6937,0.6639,0.6347,0.6063,0.5789,0.5523,0.5267,0.5021,0.4785,0.4558,0.4342,0.4136,
-5.8,0.463,0.4867,0.5117,0.5379,0.5654,0.5942,0.6244,0.6558,0.6885,0.7224,0.7575,0.7937,0.8308,0.8687,0.9073,0.9463,0.9855,1.0246,1.0632,1.1012,1.1381,1.1735,1.2073,1.239,1.2684,1.2953,1.3194,1.3406,1.3588,1.3739,1.3858,1.3945,1.4001,1.4026,1.402,1.3985,1.3919,1.3825,1.3703,1.3554,1.3379,1.3179,1.2956,1.2713,1.245,1.217,1.1874,1.1565,1.1243,1.0912,1.0572,1.0224,0.9872,0.9516,0.9159,0.8802,0.8447,0.8096,0.775,0.741,0.7078,0.6755,0.6442,0.6139,0.5847,0.5566,0.5297,0.5039,0.4792,0.4558,0.4334,
-5.6,0.4849,0.5106,0.5377,0.5662,0.5962,0.6278,0.6609,0.6955,0.7316,0.7693,0.8083,0.8487,0.8903,0.9329,0.9764,1.0204,1.0648,1.1092,1.1532,1.1965,1.2385,1.279,1.3176,1.3538,1.3874,1.4181,1.4456,1.4698,1.4904,1.5075,1.5209,1.5306,1.5367,1.5393,1.5384,1.5342,1.5265,1.5157,1.5016,1.4845,1.4645,1.4417,1.4164,1.3887,1.3589,1.3271,1.2937,1.2588,1.2225,1.1851,1.1468,1.1077,1.0681,1.0281,0.988,0.948,0.9082,0.8689,0.8302,0.7924,0.7555,0.7196,0.6849,0.6515,0.6193,0.5884,0.5589,0.5308,0.5039,0.4784,0.4542,
-5.4,0.5077,0.5355,0.5649,0.596,0.6288,0.6633,0.6997,0.7379,0.7779,0.8196,0.8631,0.9082,0.9549,1.0028,1.0519,1.1017,1.1521,1.2026,1.2527,1.3021,1.3502,1.3965,1.4405,1.482,1.5205,1.5556,1.5871,1.6147,1.6383,1.6577,1.6728,1.6837,1.6904,1.6931,1.6917,1.6866,1.6776,1.665,1.6488,1.6292,1.6062,1.5802,1.5513,1.5198,1.4859,1.45,1.4121,1.3727,1.3317,1.2895,1.2463,1.2023,1.1576,1.1126,1.0674,1.0224,0.9778,0.9337,0.8904,0.8482,0.807,0.7672,0.7287,0.6918,0.6563,0.6224,0.59,0.5592,0.53,0.5022,0.476,
-5.2,0.5315,0.5615,0.5934,0.6273,0.6631,0.701,0.7409,0.783,0.8273,0.8737,0.9222,0.9726,1.0249,1.0789,1.1344,1.1909,1.2481,1.3056,1.3628,1.4192,1.4741,1.527,1.5774,1.6248,1.6688,1.7092,1.7454,1.7773,1.8045,1.8267,1.844,1.8562,1.8636,1.8661,1.8642,1.8578,1.8472,1.8325,1.8138,1.7912,1.7649,1.7352,1.7023,1.6664,1.628,1.5872,1.5444,1.4997,1.4535,1.4058,1.357,1.3073,1.2569,1.2061,1.1552,1.1044,1.0542,1.0047,0.9562,0.9089,0.863,0.8186,0.7759,0.735,0.6958,0.6585,0.623,0.5893,0.5574,0.5273,0.4988,
-5.0,0.5562,0.5887,0.6233,0.6601,0.6992,0.7407,0.7847,0.8311,0.8801,0.9316,0.9857,1.0422,1.101,1.1618,1.2245,1.2886,1.3537,1.4192,1.4844,1.5487,1.6112,1.6715,1.7289,1.783,1.8334,1.8799,1.9219,1.9591,1.9909,2.0169,2.0369,2.0508,2.0588,2.0611,2.0582,2.0503,2.0376,2.0203,1.9986,1.9726,1.9425,1.9086,1.8711,1.8303,1.7867,1.7405,1.6921,1.6416,1.5893,1.5355,1.4804,1.4241,1.3671,1.3097,1.2521,1.1949,1.1382,1.0824,1.0279,0.9749,0.9236,0.8741,0.8266,0.7812,0.738,0.6969,0.6579,0.6211,0.5863,0.5535,0.5226,
-4.8,0.5818,0.617,0.6545,0.6945,0.7372,0.7827,0.831,0.8822,0.9364,0.9937,1.054,1.1173,1.1833,1.252,1.3229,1.3957,1.4697,1.5443,1.6185,1.6915,1.7623,1.8304,1.8952,1.9564,2.0139,2.0675,2.1168,2.161,2.1991,2.2304,2.2542,2.2704,2.2791,2.2809,2.2764,2.2661,2.2506,2.2301,2.2048,2.175,2.1407,2.1021,2.0596,2.0134,1.9641,1.9119,1.8571,1.8001,1.7411,1.6802,1.6179,1.5543,1.4897,1.4247,1.3595,1.2947,1.2306,1.1677,1.1063,1.0467,0.9892,0.934,0.8812,0.8308,0.783,0.7377,0.6949,0.6545,0.6166,0.5809,0.5475,
-4.6,0.6083,0.6463,0.687,0.7305,0.7771,0.8268,0.8799,0.9364,0.9964,1.0601,1.1274,1.1982,1.2725,1.35,1.4303,1.5129,1.597,1.6817,1.7657,1.848,1.9272,2.0028,2.0744,2.1425,2.2073,2.2694,2.3281,2.3822,2.4298,2.4692,2.4988,2.5183,2.5277,2.5282,2.5209,2.5069,2.4873,2.4626,2.4332,2.3992,2.3604,2.317,2.2693,2.2174,2.1619,2.103,2.0413,1.9769,1.9103,1.8415,1.771,1.699,1.6259,1.5521,1.4783,1.4048,1.3322,1.2611,1.1919,1.1249,1.0604,0.9986,0.9398,0.8838,0.8309,0.7809,0.7339,0.6897,0.6483,0.6095,0.5733,
-4.4,0.6357,0.6767,0.7207,0.768,0.8188,0.8732,0.9314,0.9937,1.0602,1.1309,1.206,1.2854,1.3689,1.4564,1.5473,1.641,1.7364,1.8322,1.9267,2.018,2.1046,2.1858,2.262,2.3348,2.4062,2.4778,2.5493,2.6184,2.6814,2.7341,2.7734,2.798,2.8081,2.8056,2.793,2.7728,2.7469,2.7167,2.6825,2.6443,2.6015,2.5538,2.5011,2.4436,2.3815,2.3155,2.2459,2.1733,2.098,2.0203,1.9406,1.8593,1.7766,1.6931,1.6093,1.5261,1.4439,1.3634,1.2853,1.2098,1.1374,1.0683,1.0026,0.9404,0.8818,0.8267,0.775,0.7266,0.6815,0.6393,0.6001,
